Date,Open,High,Low,Close,Adj Close,Volume
2023-01-18,68.220001,69.199997,67.970001,68.650002,67.937218,1261700
2023-01-19,68.900002,69.769997,68.800003,69.449997,68.728912,1398100
2023-01-20,69.989998,70.489998,68.779999,70.489998,69.758110,1253200
2023-01-23,70.320000,70.889999,70.050003,70.750000,70.015411,1188000
2023-01-24,71.000000,71.760002,70.559998,71.440002,70.698250,1209900
2023-01-25,69.570000,69.660004,66.930000,66.930000,66.235077,2429100
2023-01-26,67.410004,68.050003,67.050003,68.010002,67.303864,1394300
2023-01-27,66.779999,66.949997,65.059998,65.769997,65.087120,2746900
2023-01-30,66.099998,66.580002,65.599998,66.000000,65.314735,2034900
2023-01-31,65.879997,67.480003,65.709999,67.360001,66.660614,1584800
2023-02-01,67.650002,67.760002,64.449997,64.680000,64.008438,3016400
2023-02-02,65.269997,67.260002,65.010002,67.099998,66.403313,1995900
2023-02-03,67.230003,67.980003,66.800003,67.480003,66.779373,1901700
2023-02-06,66.639999,67.139999,66.139999,66.910004,66.215286,885500
2023-02-07,66.290001,67.309998,66.070000,67.190002,66.492378,1048300
2023-02-08,67.320000,68.269997,66.910004,67.860001,67.155418,1222900
2023-02-09,68.300003,68.459999,67.589996,67.650002,66.947601,1128000
2023-02-10,67.970001,68.370003,66.949997,67.970001,67.264282,884300
2023-02-13,67.949997,69.000000,67.629997,68.910004,68.194519,990900
2023-02-14,69.239998,69.900002,68.919998,69.650002,68.926834,1696000
2023-02-15,69.300003,69.730003,69.050003,69.570000,68.847664,884600
2023-02-16,69.059998,69.750000,68.830002,69.230003,68.511200,1504000
2023-02-17,68.980003,69.559998,68.900002,69.430000,68.709122,1372900
2023-02-21,68.860001,69.290001,68.589996,68.809998,68.095558,1246700
2023-02-22,68.000000,68.389999,67.029999,67.459999,66.759575,1078700
2023-02-23,67.510002,67.790001,67.019997,67.570000,66.868431,883300
2023-02-24,66.820000,67.120003,66.650002,66.830002,66.136116,1251700
2023-02-27,67.529999,67.800003,66.860001,67.059998,66.363724,1104100
2023-02-28,67.379997,67.800003,66.970001,67.639999,66.937706,1051100
2023-03-01,67.629997,67.629997,66.120003,66.699997,66.007462,1737300
2023-03-02,66.330002,66.849998,66.000000,66.650002,65.957985,1631600
2023-03-03,67.360001,67.809998,66.959999,67.720001,67.016876,1003600
2023-03-06,68.529999,68.809998,68.209999,68.320000,67.610641,1151600
2023-03-07,68.389999,68.699997,67.550003,67.930000,67.224693,1116600
2023-03-08,68.339996,68.339996,67.480003,68.000000,67.293968,1216900
